City_ID,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
216,tezu,27.9167,96.1667,71.65,99,100,3.83,IN,1719668423
217,boquete,8.7833,-82.4333,62.2,87,99,1.72,PA,1719668423
218,polyarnyy,69.1989,33.4478,56.34,87,83,6.73,RU,1719668424
219,weno,7.4515,151.8468,80.55,78,40,3.44,FM,1719668424
220,moncao,42.0789,-8.4808,68.9,48,60,6.02,PT,1719668424
221,ustka,54.5805,16.8619,74.64,69,4,7.45,PL,1719668424
222,tarko-sale,64.9225,77.785,55.09,54,100,3.76,RU,1719668424
223,georgetown,5.4112,100.3354,87.75,62,20,3.44,MY,1719668424
224,kerikeri,-35.2268,173.9474,46.42,95,7,4.0,NZ,1719668424
225,ad dilam,23.9915,47.1627,109.81,6,88,10.89,SA,1719668424
226,usinsk,65.9939,57.5281,48.99,94,100,15.68,RU,1719668424
227,avarua,-21.2078,-159.775,77.05,88,40,16.11,CK,1719668425
228,campamento,14.55,-86.65,70.41,99,100,2.68,HN,1719668425
229,enewetak,11.3474,162.3373,82.89,76,100,16.24,MH,1719668425
230,knyaze-volkonskoye,48.4642,135.4567,68.34,98,100,6.89,RU,1719668425
231,kharp,66.8014,65.8081,47.61,78,100,3.71,RU,1719668425
232,cabo san lucas,22.8909,-109.9124,76.3,62,0,10.36,MX,1719668425
233,acarau,-2.8856,-40.12,85.35,59,87,10.89,BR,1719668426
234,hermanus,-34.4187,19.2345,65.84,64,90,19.08,ZA,1719668426
235,wuhai,39.6647,106.8122,80.64,22,60,7.11,CN,1719668426
236,haiku-pauwela,20.9219,-156.3051,72.25,77,0,11.5,US,1719668426
237,naze,28.3667,129.4833,79.72,87,100,13.13,JP,1719668426
238,cartagena,10.3997,-75.5144,85.62,84,40,8.05,CO,1719668426
239,bengkulu,-3.8004,102.2655,78.53,85,21,6.29,ID,1719668426
240,amahai,-3.3333,128.9167,77.94,87,78,3.18,ID,1719668427
241,okha,53.5739,142.9478,46.94,97,93,4.88,RU,1719668427
242,gwadar,25.1216,62.3254,87.75,77,100,11.1,PK,1719668427
243,hilo,19.7297,-155.09,71.62,92,75,3.44,US,1719668427
244,port douglas,-16.4833,145.4667,74.55,85,71,7.67,AU,1719668427
245,kavieng,-2.5744,150.7967,82.8,79,100,14.47,PG,1719668427
246,nzega,-2.479,29.5564,69.17,51,100,0.65,RW,1719668427
247,kidal,18.4411,1.4078,109.94,7,9,13.27,ML,1719668427
248,nieuw amsterdam,5.8833,-55.0833,86.02,66,20,8.05,SR,1719668428
249,gao,16.6362,1.637,106.2,18,8,8.19,ML,1719668428
250,amga,60.8953,131.9608,50.05,87,75,3.42,RU,1719668428
251,uliastay,47.7417,96.8444,63.21,43,46,8.05,MN,1719668428
252,pacific grove,36.6177,-121.9166,55.42,94,100,3.44,US,1719668428
253,east london,-33.0153,27.9116,81.54,39,0,5.75,ZA,1719668408
254,nova sintra,14.8667,-24.7167,74.66,80,2,18.95,CV,1719668428
255,afaahiti,-17.75,-149.2833,75.06,84,84,28.59,PF,1719668428
256,kailua-kona,19.6406,-155.9956,72.28,86,35,7.83,US,1719668428
257,sosnogorsk,63.6023,53.8817,59.38,64,100,1.7,RU,1719668429
258,cuamba,-14.8031,36.5372,81.18,28,33,2.24,MZ,1719668429
259,lulea,65.5842,22.1547,64.47,72,0,18.41,SE,1719668429
260,monastir,35.7833,10.8333,96.78,30,0,16.11,TN,1719668429
261,suntar,62.1444,117.6319,62.65,85,97,3.67,RU,1719668429
262,tura,25.5198,90.2201,77.18,97,100,7.47,IN,1719668429
263,keflavik,64.0049,-22.5624,50.43,76,75,12.66,IS,1719668429
264,fale old settlement,-9.3852,-171.2468,83.93,77,8,17.69,TK,1719668430
265,slave lake,55.2834,-114.769,49.98,76,0,6.91,CA,1719668430
266,mawu,29.5923,107.3139,71.28,91,93,1.14,CN,1719668430
267,as sulayyil,20.4607,45.5779,113.25,5,100,5.03,SA,1719668430
268,weining,26.85,104.2333,59.83,98,100,2.35,CN,1719668430
269,olinda,-8.0089,-34.8553,82.13,65,20,10.36,BR,1719668307
270,kassala,15.451,36.4,96.84,31,95,13.65,SD,1719668430
271,hovd,48.0056,91.6419,77.16,32,55,4.23,MN,1719668430
272,twon-brass,4.3151,6.2418,78.01,88,100,13.82,NG,1719668430
273,hadibu,12.65,54.0333,85.21,54,12,19.08,YE,1719668431
274,bereket,39.2446,55.5154,93.78,18,7,10.85,TM,1719668431
275,peace river,56.2501,-117.286,59.65,68,20,3.44,CA,1719668431
276,fort saskatchewan,53.7168,-113.2187,58.77,72,0,6.49,CA,1719668256
277,general conesa,-40.1,-64.4333,40.62,57,4,8.81,AR,1719668431
278,hamilton,39.1834,-84.5333,83.25,77,0,10.36,US,1719667874
